okay and on .. on the weekends what do you do on a weekend?	تمام و ف .. في اجازات أخر الاسبوع بتعملي ايه يوم اجازة؟	okay و ف .. في ال weekends بتعملي ايه يوم اجازة؟
do you prefer working in a team or individually handling anything on your own whether at university or at work?	طيب إنت بتحب في الجامعة أو عامة في شغلك تشتغل في حياتك يعني تشتغل في فريق و لا تحب تشتغل لوحدك و تظبط دنيتك كلها لوحدك؟	طيب إنت بتحب في الجامعة أو عامة في شغلك تشتغل في حياتك يعني تشتغل in a team و لا تحب تشتغل لوحدك و ت handle دنيتك كلها لوحدك؟
okay, well, do you find any difficulties when you deal with people from a different social levels .. do you find it difficult that you have to change your way? you want to change the way you speak?	تمام طيب و بتحس بصعوبة في التعامل مع شخصيات من مستويات اجتماعية مختلفة بت .. بتلاقي الموضوع صعب شوية متحتاج تغير طريقتك؟ متحتاج تغير طريقة كلامك؟	okay طيب و بتحس بصعوبة في التعامل مع شخصيات من different social levels بت .. بتلاقي الموضوع صعب شوية متحتاج تغير طريقتك؟ متحتاج تغير طريقة كلامك؟
what unique quality do you have in your character that you like the most, what do you feel that you are .. very good at?	طيب إيه أكتر حاجة بتحس إن هي حاجة مميزة في شخصيتك حاجة بتحبها يعني ، أكتر حاجة بتحس إن أنت .. أنت شاطر أوي في ده ؟	طيب إيه أكتر حاجة بتحس إن هي حاجة مميزة في شخصيتك حاجة بتحبها يعني ، أكتر حاجة بتحس إن أنت .. أنت شاطر أوي في ده ؟
okay, did it happen before that you were talking to somebody at the university or anywhere else, while in an interview or an evaluation, and you were discussing a topic that you do not fully understand, or in an evaluation where you don't understand the project well, so you start talking in english and you use complicated words so the other person would think that you understand everything, and bye bye?	طيب جربت قبل كده و انت بتتكلم مع حد في الجامعة أو في أي حتة و أنت بتعمل مقابلة أو و أنت بتعمل تقييم إنه أنت بتتكلم في موضوع أو دخلتوا في موضوع أنت مش فاهمه، مش عارف عنه حاجة أو تقييم أنت مش عارف في المشروعكويس فإن أنت هتقول كلام إنجليزي و هتقول كلام مجعلص و كلام كبير علشان اللي قدامك إيه ده الله فأنا ه .. ه .. ايه ده شكله فاهم خلاص باي باي؟	طيب جربت قبل كده و انت بتتكلم مع حد في الجامعة أو في أي حتة و أنت بتعمل interview أو و أنت بتعمل evaluation إنه أنت بتتكلم في topic أو دخلتوا في topic أنت مش فاهمه، مش عارف عنه حاجة أو evaluation أنت مش عارف في ال project كويس فإن أنت هتقول كلام english و هتقول كلام مجعلص و كلام كبير علشان اللي قدامك إيه ده الله فأنا ه .. ه .. ايه ده شكله فاهم خلاص bye bye؟
and did he .. believe that or he felt that you were saying nonsense ..?	و كان .. كان بيصدق ده و لا بيحس إنه لأ بيقفش انه ..؟	و كان .. كان بيصدق ده و لا بيحس إنه لأ بيقفش انه ..؟
okay, can you live without a mobile?	طيب أنت تقدر تعيش من غير موبايل؟	طيب أنت تقدر تعيش من غير mobile؟
in general	عامة	عامة
can you live without a mobile or can you never hold your mobile?	أنت تقدر تعيش من غير موبايل تقدر تكون قاعد كده مش ماسك ال موبايل عادي؟	أنت تقدر تعيش من غير mobile تقدر تكون قاعد كده مش ماسك ال mobile عادي؟
no, in general, phone calls, mobile, internet and everything	لا عامة موبايل, مكالمات تليفون و إنترنت و كل حاجة	لا عامة mobile, phone calls و internet و كل حاجة
okay, here's the last question. can you choose anything to persuade us with or anything that comes into your mind to persuade us with?	طيب ماشي اخر سؤال ممكن تختار أي حاجة أنت عايزها و تقنعنا بيها أي حاجة ممكن تيجي في دماغك و إقنعنا بيها	طيب ماشي اخر سؤال ممكن تختار أي حاجة أنت عايزها و تقنعنا بيها أي حاجة ممكن تيجي في دماغك و إقنعنا بيها
for example, persuade us to travel.	مثلا إنه إحنا نسافر	مثلا إنه إحنا نسافر
for example .. i am not convinced to leave egypt and travel abroad.	يعني مثلا انت .. أنا مثلا مش مقتنع إن أنا أسيب مصر و أسافر برا مثلا	يعني مثلا انت .. أنا مثلا مش مقتنع إن أنا أسيب مصر و أسافر برا مثلا
are you convinced to leave egypt and travel abroad?  for example	انت مقتنع انك تسيب مصر و تسافر برا  مثلا	انت مقتنع انك تسيب مصر و تسافر برا  مثلا
no, i .. traveled .. traveled abroad before and i have stayed two months there but after two weeks passed, i felt that i want to go back to egypt.	لأ أنا .. انا سافرت .. انا سافرت برا قبل كده قعدت شهرين انا بعد أسبوعين .. بعد أسبوعين أنا كنت عايز أرجع مصر	لأ أنا .. انا سافرت .. انا سافرت برا قبل كده قعدت شهرين انا بعد أسبوعين .. بعد أسبوعين أنا كنت عايز أرجع مصر
i .. i .. i feel that i am satisfied dealing with people here when it comes to the way i interact with them, hanging out or having fun.	أنا .. انا .. انا بحس إن أنا راضي هنا بحس إن أنا راضي في طريقة التعامل في الكلام مع الناس في النزول فيالسهر في اللي اما اعمله	أنا .. انا .. انا بحس إن أنا satisfied هنا بحس إن أنا satisfied في طريقة التعامل في الكلام مع الناس في النزول فيالسهر في اللي اما اعمله
life there was totally different.	الدنيا هناك مختلفة تماما	الدنيا هناك مختلفة تماما
so i feel that i am satisfied here.	فأنا بحس إن أنا راضي هنا	فأنا بحس إن أنا satisfied هنا
thank you	شكرا	شكرا
can you tell us about your background? where were you born? .. did you go to a national or an international school? was it english or arabic? what languages can you speak?	طيب ممكن .. ممكن تحكيلنا عن خلفيتك يعني أنتى أصلا منين اتولدتى فين و .. و كنتى في مدرسة قومية ولا دولية؟ إنجليزي ولا عربي؟ أيه اللغات اللى بتعرفي تتكلميها و كده؟	طيب ممكن .. ممكن تحكيلنا عن your background يعني أنتى أصلا منين اتولدتى فين و .. و كنتى في مدرسة national ولا international؟ english ولا عربي؟ أيه اللغات اللى بتعرفي تتكلميها و كده؟
okay, well and .. which major did you go for at university? when did you choose this major? what was your study about? how was it?	تمام طيب و .. و الجامعة دخلتى جامعة تخصص أيه؟ و أمتى اختارتي اصلا التخصص ده؟ و دراستك فيه بتبقى دراسة عن أيه أو عامله أزاي يعني؟	okay طيب و .. و الجامعة دخلتى جامعة major أيه؟ و أمتى اختارتي اصلا ال major ده؟ و دراستك فيه بتبقى دراسة عن أيه أو عامله أزاي يعني؟
okay, well, since you're supposed to be in the bachelor semester, can you tell us about your bachelor project?	تمام طيب و أنتى دلوقتى المفروض أن أنت في الفصل الدراسي بتاع التخرج فلو ممكن تحكيلنا عن مشروع التخرج بتاعك؟	okay طيب و أنتى دلوقتى المفروض أن أنت في semester ال bachelor فلو ممكن تحكيلنا عن ال bachelor project بتاعك؟
okay, what's your dream job? after university, have you thought what you want to be in the future .. what's your dream job? why did you choose this job?	طيب انت أيه وظيفة الأحلام بتاعتك؟ بتفكري بعد ما تخلصى جامعة ت .. أيه وظيفة الأحلام اللى انت نفسك تكوني بتشتغليها و ليه؟ ليه اختارتي المهنة دي؟	طيب انت أيه ال dream job بتاعتك؟ بتفكري بعد ما تخلصى جامعة ت .. أيه ال dream job اللى انت نفسك تكوني بتشتغليها و ليه؟ ليه اختارتي ال job دي؟
okay, can you tell us about the internships that you have attended before or any part-time or full-time jobs that you have tried?	طيب ممكن تحكيلنا عن تدريبات عملتيها قبل كده أو شغل دوام جزائي أو دوام كامل أنت جربتيه؟	طيب ممكن تحكيلنا عن internships عملتيها قبل كده أو شغل part-time أو full-time أنت جربتيه؟
okay,  do you feel that it's difficult to deal with people of a different social level? you don't know how to deal with them and you need to change your way?	طيب  طيب بتحسي بصعوبة لما بتتعاملى مع ناس من مستوى اجتماعي مختلف؟ مابتعرفيش تتعاملى معاهم أو بتحتاجي تفيري طريقتك او كده؟	طيب  طيب بتحسي بصعوبة لما بتتعاملى مع ناس of different social level؟ مابتعرفيش تتعاملى معاهم أو بتحتاجي تفيري طريقتك او كده؟
okay,  have you ever tried this before when you were in an evaluation where you were talking about a topic that you didn't really understand so you're forced to speak in english and to say sophisticated words okay so that the person in front of you felt that you understood everything already so he said bravo bye bye?	طيب  جربتى مرة تكونى بتتكلمى في موضوع و بتتكلمى في موضوع في تقييم أو في حاجة ومش فاهمه كويس اللى أنتى بتقوليه فانت بقيتى بتتكلمى إنجليزي و تقولى كلام كبير أوى علشان تمام اللى قدامي ايه ده الله برافو عليكي أنت فاهمه يالا باي باي؟	طيب  جربتى مرة تكونى بتتكلمى في موضوع و بتتكلمى في topic في evaluation أو في حاجة ومش فاهمه كويس اللى أنتى بتقوليه فانت بقيتى بتتكلمى english و تقولى كلام كبير أوى علشان okay اللى قدامي ايه ده الله bravo عليكي أنت فاهمه يالا bye bye؟
okay, can you live without a mobile?	تمام طيب تعرفي تعيشي من غير موبايل?	okay طيب تعرفي تعيشي من غير mobile?
okay, the last thing is to choose something and persuade us with?	طيب ممكن أخر حاجة تختاري أى حاجة أنت عايزاها و تقنعينا بيها؟	طيب ممكن أخر حاجة تختاري أى حاجة أنت عايزاها و تقنعينا بيها؟
okay, well, good, thank you	تمام طيب ماشي شكرا.	okay طيب ماشي شكرا.
shall we start by telling us about your background? where are you from? where were you born? .. did you go to a national or an international school? was it english, arabic, french or deutsch? what about your background and your study?	طيب ممكن تبتدي إن انت تحكيلنا عن الخلفية بتاعت، انه أنت أصلا منين؟ اتولدت فين؟ و .. و كنت في مدرسة قومية ولا دولية, إنجليزي ولا عربي ولا ألماني ولا فرنسي ولا ايه؟ و يعني الخلفية بتاعتك وبتاعة الدراسة بتاعتك	طيب ممكن تبتدي إن انت تحكيلنا عن ال background بتاعت، انه أنت أصلا منين؟ اتولدت فين؟ و .. و كنت في مدرسة national ولا international, english ولا عربي ولا deutsch ولا french ولا ايه؟ و يعني ال background بتاعتك وبتاعة الدراسة بتاعتك
okay, you didn't say that the school was .. teaching what languages there like english, french or deutsch?	طيب أنت ماقلتش المدرسة دي كانت ال .. اللغات بتاعتها هناك إنجليزي, فرنسي, ألماني؟	طيب أنت ماقلتش المدرسة دي كانت ال .. ال languages بتاعتها هناك english, french, deutsch؟
okay .. okay when it comes to university life, after joining university, which major did you choose? why did you choose this major? when were you interested in this major? why did you choose this in particular? what is your study about in general? what are you studying?	طيب و .. طيب و بعد كده الحياة الجامعية بقى أنت دخلت الجامعة، اخترت تخصص إيه؟ و ليه اخترت التخصص ده؟ و امتى .. امتى حبيت تختار التخصص ده؟ و ليه اخترت ده بالذات؟ دراستك عن ايه عامة؟ بتدرس ايه؟	طيب و .. طيب و بعد كده ال university life بقى أنت دخلت الجامعة، اخترت major إيه؟ و ليه اخترت ال major ده؟ و امتى .. امتى حبيت تختار ال major ده؟ و ليه اخترت ده بالذات؟ دراستك عن ايه عامة؟ بتدرس ايه؟
when .. when did you decide this .. you have that there's a .. after the first year	امتى .. امتى حددت .. أنت قلت اه في .. بعد أول سنة	امتى .. امتى حددت .. أنت قلت اه في .. بعد أول سنة
okay  since you're supposed to be in the bachelor semester, can you tell us about your bachelor project?	طيب  انت المفروض دلوقتي ان أنت في الفصل الدراسي بتاع التخرج, ممكن تحكيلنا عن مشروع التخرج بتاعك؟	طيب  انت المفروض دلوقتي ان أنت في ال bachelor semester, ممكن تحكيلنا عن ال bachelor project بتاعك؟
okay	تمام	okay
okay	تمام	okay
okay, interesting	تمام , شيق	okay , interesting
which movie do you like the most?	أو اكتر فيلم بتحبه يعني	أو اكتر فيلم بتحبه يعني
okay what's .. what's your dream job after university? what do you want to work? and why?	طيب انت إيه ال .. ايه وظيفة الأحلام بتاعتك بعد ما تخلص جامعة؟ نفسك تشتغل إيه؟ و ليه؟	طيب انت إيه ال .. ايه ال dream job بتاعتك بعد ما تخلص جامعة؟ نفسك تشتغل إيه؟ و ليه؟
okay, can you tell us about .. any internships that you attended or any part-time or full-time job that you have worked recently during university?	طيب، و ممكن تحكيلنا عن .. عن اي تدريبات عملتها قبل كده او شغل بدوام جزائي او دوام كامل اشتغلتها الفترة اللي فاتت في فترة الدراسة يعني؟	طيب، و ممكن تحكيلنا عن .. عن اي internships عملتها قبل كده او part-time او full-time jobs اشتغلتها الفترة اللي فاتت في فترة الدراسة يعني؟
okay .. are there any moments in your life that you consider a turning point, where you changed your mind, went for another major or for another university other than the one that you had chosen? did you feel that at this point, you actually turned all your thinking?	طيب إنت في .. في وقت في حياتك حاسيت إن نقطة تحول خلتك تغير تفكيرك مثلا تخش تخصص تاني، او تغير تفكيرك تخش جامعة غير اللي أنت كانت في دماغك؟ نقطة حسيت إن أنت في النقطة ديه، غيرت كل تفكيرك يعني؟	طيب إنت في .. في وقت في حياتك حاسيت إن it's a turning point خلتك تغير تفكيرك مثلا تخش major تاني، او تغير تفكيرك تخش جامعة غير اللي أنت كانت في دماغك؟ point حسيت إن أنت at this point، you turned all your thinking يعني؟
okay, when you were at university or at work, would you like working in teams or you would like to handle the project individually, working on your own?	طيب و انت في الجامعة أو في الشغل عامة بتحب تشتغل في فريق ولا تحب تتعامل انت في مشروع كامل لوحدك، تشتغل لوحدك؟	طيب و انت في الجامعة أو في الشغل عامة بتحب تشتغل in teams ولا تحب ت handle انت project كامل لوحدك، تشتغل لوحدك؟
okay,  do you feel that you're an easy person to talk with or not .. or they have to break the ice for some time?	طيب  أنت بتشوف نفسك شخص سهل الناس تتكلم معاه ولا .. ولا بتحتاجوا فترة تعارف؟	طيب  أنت بتشوف نفسك شخص سهل الناس تتكلم معاه ولا .. ولا they have to break the ice for some time؟
okay, do you find it difficult when you deal with people of different social level? can't you deal with them? do you need to change the way you speak or the way you treat them?	طيب و بتحس بصعوبة أو كده و أنت بتتعامل مع ناس من مستوى اجتماعي مختلف ؟ مابتعرفش تتعامل؟ محتاج تغير طريقة كلامك، طريقة تعاملك؟	طيب و بتحس بصعوبة أو كده و أنت بتتعامل مع ناس of different social level ؟ مابتعرفش تتعامل؟ محتاج تغير طريقة كلامك، طريقة تعاملك؟
okay, okay, have you ever tried this before when you were in an evaluation where they were talking about a topic that you didn't really understand so you're forced to speak in english and to say sophisticated words so that the person in front of you felt that okay you understood everything already so he said bravo bye bye, have you done this before?	طيب، طب أنت جربت او عملت كده مرة إن إنت كنت في تقييم أو في حاجة بتتكلم في موضوع، الموضوع ده انت مش فهمه كويس، فإنت اضطريت إن إنت تتكلم إنجليزي و تقول كلام كبير عشان اللي قدامك يحس إن انت تمام انت فاهم، فخلاص تمام يالا باي باي برافو عليك، وخلاص، عملت كده؟	طيب، طب أنت جربت او عملت كده مرة إن إنت كنت في evaluation أو في حاجة بتتكلم عن topic، ال topic ده انت مش فهمه كويس، فإنت اضطريت إن إنت تتكلم english و تقول كلام كبير عشان اللي قدامك يحس إن انت okay انت فاهم، فخلاص okay يالا bye bye bravo عليك، وخلاص، عملت كده؟
okay	تمام	okay
okay	تمام	okay
okay	تمام	okay
okay since you have convinced a friend of yours that you play playstation and you don't know how to play playstation at all or even know anything about it,  ..	طيب ممكن .. ممكن بما إنك يعني عرفت تقنع واحد صحبك إن إنت بتلعب بلاي ستيشن و انت مابتعرفش تلعب بلاي ستيشن خالص و مابتعرفش عنه حاجة،  ..	طيب ممكن .. ممكن بما إنك يعني عرفت تقنع واحد صحبك إن إنت بتلعب playstation و انت مابتعرفش تلعب playstation خالص و مابتعرفش عنه حاجة،  ..
can you choose anything and persuade us with, anything that comes into your mind or that you imagine to persuade us to do?	ممكن تختار أي حاجة و تقنعنا بيها، أي حاجة أنت جات في دماغك و متخيلها اقنعنا بيها؟	ممكن تختار أي حاجة و تقنعنا بيها، أي حاجة أنت جات في دماغك و متخيلها اقنعنا بيها؟
can you persuade us to travel more, to camp or to do anything else?	ممكن تقنعنا مثلا ان احنا نسافر اكتر، إن احنا نخيم اكتر، اي حاجة انت بتعملها	ممكن تقنعنا مثلا ان احنا نسافر اكتر، إن احنا ن camp اكتر، اي حاجة انت بتعملها
i .. i am busy working on my project.i don't have time for traveling.	انا .. أنا مشغول عندي مشروع و مش فاضي، مش لاحق أسافر.	انا .. أنا مشغول عندي project و مش فاضي، مش لاحق أسافر.
okay we don't have enough time in the weekend to travel as we will spend half of the weekend in the road.	ماشي ما هو الأجازة الأسبوعية يعني مش هنلحق نسافر يعني ،الأجازة الأسبوعية هناخد نص الأجازة أسبوعية في الطريق	ماشي ما هو weekend يعني مش هنلحق نسافر يعني ،weekend هناخد نص ال weekend في الطريق
okay it takes us ten hours to travel, ten hours for a day only?	طيب يعني سافرنا عشر ساعات رايح، عشر ساعات علشان يوم؟	طيب يعني سافرنا عشر ساعات رايح، عشر ساعات علشان يوم؟
so we have traveled for two days and have stayed there for two days? aren't you going to sleep at that time?	يبقى سافرت يومين عشان نقعد يومين؟ و مش هتنام فيهم؟	يبقى سافرت يومين عشان نقعد يومين؟ و مش هتنام فيهم؟
i got convinced.	أنا اقتنعت	أنا اقتنعت
okay,  thank you.	تمام شكرا	okay شكرا
shall we start by telling us about your background?	طيب ممكن تبتدي معانا تقولنا الخلفية بتاعتك	طيب ممكن تبتدي معانا تقولنا ال background بتاعتك
where are you from?	أنت اصلا منين؟	أنت اصلا منين؟
where were you born?	اتولدت فين؟	اتولدت فين؟
did you go to a national or an international school?	و .. و كنت في مدرسة قومية ولا دولية؟	و .. و كنت في مدرسة national ولا international؟
which languages did you study? arabic, english, french or deutsch?	اللغات اللي كت في المدرسة عربي إنجليزي , فرنسي, ألماني؟	ال languages اللي كت في المدرسة عربي english , french, deutsch؟
okay, what about university? or i don't .. don't mean the university name that you have joined but what is your major?	تمام طيب و بعدين في الجامعة دخلت جامعة إيه او مش .. مش اسم الجامعة بس تخصص إيه؟	okay طيب و بعدين في الجامعة دخلت جامعة إيه او مش .. مش اسم الجامعة بس ال major إيه؟
what was your study about?	و كانت دراستك عن إيه؟	و كانت دراستك عن إيه؟
what your bachelor project about?	مشروع التخرج كان عن إيه؟	مشروع التخرج كان عن إيه؟
when did you choose this .. major or this field?	و امتى اخترت إن انت عايز تخش ال .. التخصص ده و مجال ده؟	و امتى اخترت إن انت عايز تخش ال .. ال major ده و field ده؟
okay, when did you choose this .. this .. major you enrolled in?	تمام و إمتي اخترت إن انت عايز تعمل ال .. ال .. تخش التخصص ده؟	okay و إمتي اخترت إن انت عايز تعمل ال .. ال .. تخش ال major ده؟
and  what was your bachelor project about?	و  التخرج المشروع مشروع التخرج، مشروع التخرج كان عن ايه؟	و  ال bachelor ال project ال bachelor project، مشروع التخرج كان عن ايه؟
okay	تمام	okay
okay	تمام	okay
okay, in the future when .. when you will get married and have children, which school will you choose for them; a 3national or an international school?	طيب لو يعني مستقبليا لما .. لما تتجوز او يكون عندك أولاد, هتحب ان انت تتدخلهم اكتر مدرسة قومية ولا دولية?	طيب لو يعني مستقبليا لما .. لما تتجوز او يكون عندك أولاد, هتحب ان انت تتدخلهم اكتر مدرسة national ولا international?
would you like them to go to an english, arabic, french or deutsch school?	هتحب تدخلهم مدرسة إنجليزي ولا عربي ولا فرنسي ولا ألماني؟	هتحب تدخلهم مدرسة english ولا عربي ولا french ولا deutsch؟
why would you like to choose something like that?	وليه هتحب تختار حاجة زي كده يعني؟	وليه هتحب تختار حاجة زي كده يعني؟
okay but .. what language .. first language would you like your children have in education, is it english?	تمام بس انت .. انت هتهتم اكتر حاجة كمان .. يعني اللغة اللي هتبقى مهتم انها تبقى اللغة الأولى في التعليم بتاعهم الإنجليزي?	okay بس انت .. انت هتهتم اكتر حاجة كمان .. يعني ال language اللي هتبقى مهتم انها تبقى ال first language في التعليم بتاعهم ال english?
okay, if you .. you haven't been .. haven't been a ta, what would have been your dream job?	تمام طيب انت ال .. لو انت مش .. ماكنتش شغال مساعد مدرس, كنت هتحب وظيفة الأحلام بتاعتك كت تبقى ايه؟	okay طيب انت ال .. لو انت مش .. ماكنتش شغال ta, كنت هتحب ال dream job بتاعتك كت تبقى ايه؟
what's your dream job when you were young?	كنت نفسك من زمان وانت صغير تشتغل ايه؟	كنت نفسك من زمان وانت صغير تشتغل ايه؟
okay, well, good	تمام ماشي ده حلو	okay ماشي ده حلو
okay, can you tell us about your life at work in general? have you worked before in a different place whether it's a full-time or part-time job or did you attended any internships when you were .. were a student?	طيب ممكن تحكيلنا عن حياتك عامة في الشغل اللي قبل كده؟ إنت اشتغلت قبل كده مثلا في حتة تانية دوام كامل أو دوام جزائي أو تدريبات و انت .. و انت طالب؟	طيب ممكن تحكيلنا عن حياتك عامة في الشغل اللي قبل كده؟ إنت اشتغلت قبل كده مثلا في حتة تانية full-time أو part-time أو internships و انت .. و انت student؟
okay	تمام	okay
okay when did you feel that it's a turning point? you were thinking about something but now you are thinking about something else, how that day or that time influenced your life or changed your way of thinking in general.	طيب في وقت في حياتك حسيت إن هو نقطة تحول ؟ إنت هنا كنت بتفكر في حاجة، بكرا انت بتفكر في حاجة تانية خالص، انت اليوم ده أو الوقت ده أثر في حياتك ان انت غيرت تفكيرك تماما	طيب في وقت في حياتك حسيت إن هو it's a turning point ؟ إنت هنا كنت بتفكر في حاجة، بكرا انت بتفكر في حاجة تانية خالص، انت اليوم ده أو الوقت ده أثر في حياتك ان انت غيرت تفكيرك تماما
okay	تمام	okay
why do you choose such people? what do you .. like about them?	ليه بتختار الناس دي؟ او ليه بتحب .. بتحب فيهم إيه يعني؟	ليه بتختار الناس دي؟ او ليه بتحب .. بتحب فيهم إيه يعني؟
that one who? .. what does he do?	اللي هو؟ بيعمل .. يعني بيعمل إيه؟	اللي هو؟ بيعمل .. يعني بيعمل إيه؟
some prefer that you have to respect me in class then it's up to you whether you liked me or you don't like, it's up to you.	في في بعض الناس بتفضل أن هو لأ انا مثلا في الفصل او كده إنت لازم تحترمني، بعدين بقى تحب او متحبش , براحتك, أنت حر	في في بعض الناس بتفضل أن هو لأ انا مثلا في ال class او كده إنت you have to respect me، بعدين بقى you liked او you don't like , براحتك, أنت حر
some people say no, i will make you like me.	و في ناس يقولك لأ هخليك تحبني	و في ناس يقولك لأ i will make you like me
okay	تمام	okay
okay	تمام	okay
which trait do you prefer about yourself and you don't want to change because you like this about yourself?	طيب إيه أكتر حاجة صفة بتحس إن إنت دي حاجة حلوة أوي فيك و إنت مش نفسك أبدا تتغير و بتحبها فيك يعني؟	طيب إيه أكتر حاجة trait بتحس إن إنت دي حاجة حلوة أوي فيك و إنت مش نفسك أبدا تتغير و you like this about yourself يعني؟
which trait that makes you avoid him, if this person has this trait, you won't deal with him? i cannot deal with a person like that .. that has this trait.	طيب و إيه أكتر حاجة في الناس اللي قدامك بتحس انه ال .. ال .. ال .. ال .. الحاجة دي لو موجودة في الشخص ده, أنا مش هقدر إتعامل معاه؟ أنا ماقدرش أتعامل مع شخص بيعمل كذه، بي .. في صفة معينة	طيب و إيه أكتر حاجة في الناس اللي قدامك بتحس انه ال .. ال .. ال .. ال .. الحاجة دي لو موجودة في الشخص ده, أنا مش هقدر إتعامل معاه؟ أنا ماقدرش أتعامل مع شخص بيعمل كذه، بي .. في صفة معينة
okay, well, once when you were in an evaluation or anything and .. and .. and you were speaking about something that you don't understand so you have to speak english and you have to say difficult words so that the person in front of you feel that you understood everything?	تمام طيب كان في مرة قبل كده مثلا و إنت في تقييم أو في اي حاجة و .. و .. و كنت بتتكلم في حاجة انت مش فاهمها, فإنت لجأت إن انت بتتكلم إنجليزي و بتقول كلمات كبيرة اوي علشان اللي قدام يحس إن إنت فاهم, فالموضوع يعدي و خلاص؟	okay طيب كان في مرة قبل كده مثلا و إنت في evaluation أو في اي حاجة و .. و .. و كنت بتتكلم في حاجة انت مش فاهمها, فإنت لجأت إن انت بتتكلم english و بتقول كلمات كبيرة اوي علشان اللي قدام يحس إن إنت فاهم, فالموضوع يعدي و خلاص؟
okay, when you were a student at university and you had an evaluation and there was something that you didn't .. didn't .. didn't .. didn't .. study .. you didn't know it very well, what did you do at that time?	طيب و لما مثلا لما كنت طالب في الجامعة و في تقييم وفي حاجة إنت مش .. مش .. مش .. مش .. مش دارسها .. مش عارفها كويس أوي, فكنت بتعمل إيه في وقت زي ده؟	طيب و لما مثلا لما كنت student في الجامعة و في evaluation وفي حاجة إنت مش .. مش .. مش .. مش .. مش دارسها .. مش عارفها كويس أوي, فكنت بتعمل إيه في وقت زي ده؟
okay, can you live without a mobile?	تمام طيب بتقدر تعيش من غير موبايل?	okay طيب بتقدر تعيش من غير mobile?
no, look i don't have such skill so i won't choose it to persuade you to do	لأ بص هو أنا المهارة دي مش عندي, فانا أكيد مش هختار حاجة اقنعك بيها لأ	لأ بص هو أنا ال skill دي مش عندي, فانا أكيد مش هختار حاجة اقنعك بيها لأ
okay, well, thank you.	طيب ,ماشي خلاص, شكرا	طيب ,ماشي خلاص, شكرا
okay, shall we start by telling us about your background? where are you from? where .. were you born? did you go to a national or an international school? were the languages at this school english, arabic, deutsch or french, tell us?	طيب ممكن الأول نبتدي تقوليلنا عن خلفيتك، أنت اصلا منين؟ من .. اتولدتي فين، أو منين؟ و .. و كنت مدرسة قومية ولا دولية؟ اللغات اللي كنتي في المدرسة إنجليزي، عربي ، فرنسي, ألماني، تحكيلنا كده؟	طيب ممكن الأول نبتدي تقوليلنا your background، أنت اصلا منين؟ من .. اتولدتي فين، أو منين؟ و .. و كنت مدرسة national ولا international؟ ال languages اللي كنتي في المدرسة english، عربي ، french, deutsch، تحكيلنا كده؟
okay, well	تمام ماشي	okay ماشي
okay, do you prefer enrolling your daughter in a national or an international school? which language would you choose? why do you think of this? i mean what .. why .. why are you interested in this?	طيب انت .. انت ..إنت بتفضل إن إنتي تدخلي بنتك مدرسة قومية ولا دولية؟ و اللغة إيه؟ وليه بتفكري في ده؟ يعني او ايه .. ليه .. ليه اهتميتي أوي بحاجة زي كده؟	طيب انت .. انت ..إنت do you prefer إن إنتي تدخلي your daughter مدرسة national ولا international؟ و ال language إيه؟ وليه بتفكري في ده؟ يعني او ايه .. ليه .. ليه اهتميتي أوي بحاجة زي كده؟
okay	تمام	okay
they are few.	قليلين	قليلين
okay, is there any moment that you consider a turning point, where you totally changed your mind regarding something at this point?	طيب، في لحظة في حياتك حاسيتي انها نقطة تحول، و كنت بتفكري في حاجة و غيرتي تفكيرك تماما في النقطة ديه؟	طيب، في لحظة في حياتك حاسيتي ان it's turning point، و كنت بتفكري في حاجة و غيرتي تفكيرك تماما at this point؟
okay, well .. well when you were a student at university, or even .. now, would you like to work in a team or individually to handle everything on your own?	تمام طيب .. طيب في الجامعة عامة لما كنت طالبة أو لو .. او دلوقت بتحبي تشتغلي في فريق ولا تحبي تشتغلي لوحدك و تتعاملي مع كل حاجة لوحدك؟	okay طيب .. طيب في الجامعة عامة لما كنت student أو لو .. او دلوقت بتحبي تشتغلي in a team ولا تحبي تشتغلي لوحدك و ت handle#ي كل حاجة لوحدك؟
if you .. you .. i mean you .. someone .. we like someone and we respect him but that what you want in class, for example to be respected and then to be liked or not liked it's up to you but i should be respected in class, for example, do you understand?	ممكن أنتي .. أنتي .. يعني إنت .. شخص .. نحب شخص ونحترمه بس مثلا إنت محتاجة إنه في الفصل مثلا أن الناس تحبك وبعدين بقى تكوني محبوبة او مش محبوبة براحتك ، بس أنا لازم أكون الناس بتحترمني مثلا في الفصل، فاهماني؟	ممكن you .. you .. يعني إنت .. someone .. we like someone and we respect him بس مثلا إنت محتاجة إنه في ال class مثلا to be respected and then بقى to be liked او not liked براحتك ، بس أنا لازم أكون respected مثلا في ال class، فاهماني؟
no, maybe, the .. the one who is liked should be respected but it's not necessarily the one who is respected is liked.	فلأ ممكن، آه ال .. المحبوب لازم يكون الناس بتحترمه بس مش لازم اللي الناس بتحترمه بيكون محبوب	فلأ ممكن، آه ال .. ال liked لازم يكون respected بس مش لازم respected بيكون liked
okay, do you .. find any difficulties when you deal with people of different social level or when you talk with them?	طيب، بتحسي ب .. بصعوبة لما بتتعاملي مع ناس من مستوى اجتماعي مختلف و انت بتتكلمي معاهم أو كده؟	طيب، بتحسي ب .. بصعوبة لما بتتعاملي مع ناس of different social level و انت بتتكلمي معاهم أو كده؟
