Batman vs Superman	batman banaam superman	batman vs superman
Ok	thheek haye	ok he
I'm really interesting and it's a classic	main vaastav mein dilchasp huun aur yeh ack classic haye	me really interesting hu aur ye ek classic he
I guess a wormhole opened to let Loki through to the Earth.	mujhe lagata haye kii loki koo prithvi taka aaney dene key liye ack wormhole khola gayaa haye.	mera guess ye he ki ek wormhole open hoga aur Loki uske through Earth me chala jayega.
The wormhole is called aTesseract. That's hard to say and spell.	wormhole koo tesseract kahaa jaataa haye. yeh kahana aur likhana kathin haye.	Wormhole ko Tesseract kaha jata he. ye kahne aur spell karne me hard hard he.
that hole that he found was quite exciting	vaha chhed joe usey milaa vaha kaafee romanchak thaa	vah hole jo usko mila vah bahut romanchkari tha
A movie critic said the the Hulk was played like he was a reservoir of calm but then became a Volcano. I agree.	ack film sameekshak ney kahaa kii hulk key saath aisaa abhinay kiya gayaa jaise vaha shaanti kaa bhandar thaa lekin phir jwalamukhi bunn gayaa. main sahmat huun.	ek film aalochak ne kaha ki halk ko esa dikhaya gaya hai ki vah bahut shant hai par baad mei vas jawalamukhi ban jata hai. mei sahamat hui
143 minutes for a movie is long these days	aajkal ack film key liye 143 minut kaa samay kaafee lamba hotaa haye	143 minut aaj ke din mei bahut lamba hai
are you there and reading the document. Tell me about your impression of how long the movie is please	kyaa aap vahaan hain aur dastaavez padh rahey hain? kripaya mujhe bataaen kii film kitni lambi haye	kya tum vaha ho or dastaveg paadh rahe ho. mujhe apne prabhav ke bare mei batao ki film mei kab tak hai
i understand	main samajhata huun	mei samaj gaya
why let chat	chait kyon karane dein?	kyon baat kare
just i lose my conexion	buss main apana sambandh khou detaa huun	bas mene apna conexion kho diya.
Hello.	namaste.	Namaste
Hi there.	namaste.	Namaste
Have you ever seen this	kyaa aapane pahale kabhi ise dekhaa haye	Kya aapane pahale kabhee ise dekha hai
Yes	haan	Haan
I never saw it, I’m not really into that type of movie	maine ise kabhi naheen dekhaa, main vaastav mein usa prakaar kii film mein ruchi naheen rakhta	Maine ise kabhee nahin dekha, main vaastav mein isse type movie nahin hoon
What type do you prefer	aap kiss prakaar koo pasand karate hain	Aap kis type ko pasand karate hain
Comedy	haasy	Comedy
Eh I'm not a fan	aih, main prashansak naheen huun	Eh main fan nahin
This movie has some great actors	iss film mein kuchh behtareen kalakar hain	Eh movie meh some great actors hain.
Haha. It's animated!	haaha. yeh animated haye!	Haha eh animated hai.
Oh I just saw that!	oh, maine abhee vaha dekhaa!	Oh maine vahee dekha!
Yeah, they're voice actors.	haan, way aavaaj abhineta hain.	Haan, vo voice actors hain.
Still good tho	phir bhee achchha haye	Phir bhi acha hai
I think I tried watching this with my son before	mujhe lagata haye kii maine ise pahale apane bete key saath dekhane kii koshish kii thee	Mujhe lagata hai ki maine isase pahale apane bete ke saath ise dekhane kee koshish kee
And he didn't like it?	aur usey yeh pasand naheen aayaa?	Aur usane aisa nahin kiya
No I believe he did	naheen, mujhe vishvaas haye kii usane aisaa kiya thaa	Nahin mujhe vishvaas hai ki usane pasand tha
Ah nice	aaha badhiya	Ahh acha.
I don't have kids	merey bachche naheen hain	mere kho bacha nahi hi
I just wasn’t paying much attention to it	main iss parr jyada dhyaan naheen dey rhaa thaa	me ne achi tarah se dhyan nahi diya
Yeah it's more of a kids' movie	haan, yeh bachchon kii film haye	ha, ee tho baccho ka movie hi
Nice of you to watch with him though!	haalaanki aapako usake saath dekhana achchha lagaa!	aap bahut achi hu , uske sat dekha hi
Is it 3-d	kyaa yeh 3-dee haye?	ee tho 3-d
Yes	haan	ha
Oh..that might be interesting to see in theater	oh..yeh theatre mein dekhana dilchasp hoe sakata haye	oh..ee tho intersting hi dekh ne ke liye theater me
I honestly just go for the popcorn haha	main imandari seey sirf popcorn key liye jaataa huun haaha	me ne honestly jata hu popcorn ke liye haha
Maybe I will try to watch it again with him	shayed main usake saath ise dobara dekhane kii koshish karunga	shayad mene aour ek bar dekhne ke liye try karoongi uske sat
Sure give it a shot	nishchit roop seey ise ack baar aazamaaen	jarur dedho ek shot
Why not?	kyon naheen?	Kyu nahi?
Me too! I love the popcorn!	main bhee! mujhe popcorn bahut pasand haye!	Me bhi! Muje popcorn achhe lagre hai!
My waistline doesn't ;)	merrie cummer naheen haye ;)	Meri waistline nahi he
The plots sounds good and it got pretty ok reviews	kathaanak achche lagate hain aur ise kaafee achchi sameekshaaen mileen	Plot sound acha he aur usko petty acche reviews mile he
Yeah good rotten tomatoes score	haan achche sadey hue tamatar score	Wah acche rotten tomatoes score
It’s the butter for me!	yeh merey liye makkhan haye!	Ye butter mere liye he!
Hello?	namaste?	Namste?
Hello	namaste	namaste
Hello	namaste	namaste
Have you seen the movie Frozen?	kyaa aapane frozen film dekhi haye?	kya aapane philm phrojan dekhee hai?
Yes I have, I actually saw it in theatres with my Fiance at the time it came out.	haan merey paas haye, jaba yeh release hui thee tou maine vaastav mein ise apane mangetar key saath cinemagharon mein dekhaa thaa.	haan mere paas hai, main vaastav mein ise apane mangetar ke saath sinemaagharon mein dekha tha jab yah baahar aaya tha.
Did you like it?	kyaa aapako yeh pasand aayaa?	kya aapako yah pasand aaya?
Yes, it is a funny animation film.	jee haan, yeh ack majedar animation film haye.	jee haan, yah ek phanee enimeshan philm hai.
I agree. I saw it in theaters too	main sahmat huun. maine ise cinemagharon mein bhee dekhaa	main sahamat hoon. mainne ise sinemaagharon mein bhee dekha
I enjoy almost anything that Disney produces	main disney dwara nirmit lagbhag harr cheez kaa anand letaa huun	mujhe lagabhag kuchh bhee pasand hai jo dijnee paida karata hai
The critical response was pretty good I see. \	merey hisab seey aalochanatmak pratikriya kaafee achchi thee. \	aalochanaatmak pratikriya mujhe bahut achchhee lagee. \
I heard they are making a second movie to follow Frozen	maine sunaa haye kii way frozen key baad doosari film banaa rahey hain	mainne suna ki ve phrojan pholo karane ke lie doosaree philm bana rahe hain
It only got an 89 percent on rotten tomatoes. I thought it would get a higher score.	sadey hue tamataron parr ise kewal 89 pratishat ank mille. maine socha thaa kii ise adhik ank milenge.	sade hue tamaataron par ise keval 89 pratishat mila. mainne socha tha ki yah ek uchch ank praapt karega.
I don't much care for review sites, I would rather watch a movie and judge it myself.	mujhe sameeksha saiton kii jyada parwah naheen haye, balki main ack film dekhana pasand karunga aur khud uska mulyankan karunga.	main saiton kee sameeksha karane ke lie bahut paravaah nahin karata, main ek philm dekhoonga aur ise khud jaj karoonga.
I agree with the CinemaScore of A+	main a+ key cinemascore seey sahmat huun	mein maantha hoon ki us cinema ka score A+ hein
Me too, I love the artwork and time that goes into animation and C.G. movies	mujhe bhee, animation aur see.jee. mein lagane vaali kalaakriti aur samay bahut pasand haye. filmein	mein bhi, muje voh artwork aur uska timing animation aur CG work ka movies bahut pasand hein
It seems like this movie just came out. I cannot believe it was 2013 when it arrived in theaters.	aisaa lagata haye jaise yeh film abhee-abhee aaee haye. main vishvaas naheen curr sakata kii yeh 2013 thaa jaba yeh cinemagharon mein aaee.	lagtha hein ki, abhi hi us movie ko release huva. muje yakin hi nahi hota ki voh 2013 mein aaya hoga jab theaters mein
Yeah, so much attention and popularity has kept it alive in stores as toys, shows and other items.	haan, itane adhik dhyaan aur lokpriyata ney ise khilaunon, show aur anya vastuon key roop mein dukanon mein jeevit rakhaa haye.	haan yar, jyada attention aur populatity us stores ke toys, shows aur jyada items mein ab tak jinda rakh rahe hein
Who is your favorite character in Frozen?	frozen mein aapka pasandida kirdar kaun haye?	frozen mein aapka favorite character kon hein
It either has to be Sven or Christophe	yeh yaa tou swen yaa christophe honah chaahiye	muje toh sven ya christophe pasand hein
Kristoff*	christophe*	kristoff???
Do you know who Kristen Bell is?	kyaa aap jaanate hain christon bell kaun hain?	aapko kristen bell patha nahi hein kya?
I know of her, but not familiar of her other acting jobs.	main usake baare mein jaanata huun, lekin usake anya abhinay kaaryon seey parichit naheen huun.	patha hein, lekin jyada familiar nahi hein jaise other acting jobs ke swar
I like the villain. I thought he was funny.	mujhe khalnayak pasand haye. mujhe lagaa kii vaha majakia thaa.	muje toh voh villain pasand hein, voh jyada funny lag rahe the
Yeah, something was up when they fell for each other early in the movie between him and Anna	haan, jaba film kii shuruat mein unake aur annaa key beach ack-dusare key pyaar mein padane lagey tou kuchh gadbad hoe gaee	Yeah,uske aur anna ke bich movie se pehle kuch hua
Olaf could be a bit much sometimes, but had some funny parts	olaf kabhi-kabhi thodaa adhik hoe sakata haye, lekin isamen kuchh mazedaar hisse bhee they	Olaf thoda aur hona chahiye,par thoda funny part bhi
Yeah, I did not even guess he would have been a bad guy	haan, maine yeh anuman bhee naheen lagaaya thaa kii vaha buraa aadami hoga	Yeah,mene socha nahi tha wo bad ladka hoga
I think I called it during the movie and said something to my fiance about how redheads are always portrayed as badguys.	mujhe lagata haye kii maine ise film key dauran bulaaya thaa aur apane mangetar seey kuchh kahaa thaa kii kaise laal baalon koo hamesha burey logon key roop mein chitrit kiya jaataa haye.	Mene socha mene use movie ke dauran bulaya and finance ke bare me kuch kaha kaise redheads are always portrayes as badguys
Good point. I didn't even think of that	achchi baat. maine isake baare mein socha bhee naheen thaa	Achha point.mene socha bhi nahi tha
He looks like the villian commander from the newer Star Wars movies.	vaha naee starr wars filmon key khalnayak commander kii tarah dikhta haye.	Naye star wars movie me wo villian commander ke jesa dikh raha tha
What rating would you give the movie out of ten?	aap film koo duss mein seey kyaa rating denge?	Das me se kitne rating donge movie ko
I think an 9, it was a great movie, even if the music is overplayed	mujhe lagata haye kii 9, yeh ack behtareen film thee, bhale hii sangeet zyaadaa bajaaya gayaa hoe	Nine ,accha movie tha music jyada play hone ke bad bhi
Bye!	alvida!	Aavjo
One of my favorite movies of all time	merrie sarvakaalik pasandida filmon mein seey ack	ye movie meri all time favorite me se ek he
Mine too! I still get nervous going into the ocean	meraa bhee! mujhe abb bhee samudra mein jaane seey ghabarahat hoti haye	meri bhi! me ab bhi ocean me jate samay nervous ho jati hoon.
So do I! It freaks me out, big time	main bhee! yeh mujhe bahut pareshan kartaa haye, badaa samay	so do i! ye mujhe pagal kar deta he, big time
I know.I think this was one of Speilbergs best films.	main jaanata huun. mujhe lagata haye kii yeh spielberg kii sarvshreshth filmon mein seey ack thee.	i know. mere vichar se ye Speilbergs ki best films me se ek he.
Most definitely	sabse nishchit roop seey	bilkul definitely
I love all of them, so I can't say that I have a favorite	mujhe way sabhi bahut pasand hain, isaliye main yeh naheen kaha sakata kii meraa koee pasandida haye	me un sab ko love karti hu, isliye me kisi ek ko apna favorite nahi kah sakti.
I love Richard Dreyfus and his Matt Hooper was fabulous. Did he get nominated or win an Oscar for that role?	mujhe richard dreyfus pasand haye aur unaka mait hooper shandar thaa. kyaa usa bhoomika key liye unhein namankit kiya gayaa yaa auskar jeetaa?	mujhe Richard Dreyfus se pyar he aur uski Matt hooper fabulous thi. Kya use nomination mila ya us role ke liye usne Oscar jeeta
I'm not sure. If he didn't, he sure deserved it	mujhe yakeen naheen haye. yadi usane aisaa naheen kiya, tou vaha nishchit roop seey iska hakdar thaa	me sure nahi hoon.Agar usne nahi jeeta to voh sure deserve karta he.
I find it interesting that Metacritics only had a score of 87/100 for Jaws. What were they using to measure this? Rotten Tomatoes gave it 97%	mujhe yeh dilchasp lagata haye kii metacritics key paas jozz key liye kewal 87/100 kaa score thaa. ise maapane key liye way kyaa upayog curr rahey they? rotten tomatose ney ise 97% diyaa	mujhe yeh interesting lagta he ki Metacritics ka Jaws ke liye score 87/100 tha.ve ise measure karne ke liye kya use kar rahe the?Rotten Tamataro ne ise 97% diye he.
I know, I don't get that either since it was the best in it's time and still is today, in my opinion.	main jaanata huun, mujhe vaha bhee samajh mein naheen aataa kyonki yeh apane samay mein sarvshreshth thaa aur merrie raay mein aaj bhee haye.	mujhe pata hai, mujhe nahin lagata hai ki ya to yah us samay mein sabase achchha tha aur aaj bhee hai, meree raay mein
Agreed. I still like watching it when its on TV. I've been known to download it for a long flight too. The cast was outstanding and the music!!! Still gets me creeped out.	maan gayaa. jaba yeh tv parr aataa haye tou main abb bhee ise dekhana pasand kartaa huun. mujhe ise lambi udaan key liye bhee download karane key liye jaanaa jaataa haye. kalakar utkrisht they aur sangeet!!! phir bhee mujhe stabdh curr detaa haye.	maana. main abhee bhee ise dekhana pasand karata hoon jab teevee par isakee. mujhe ise lambee udaan ke lie bhee daunalod karane ke lie jaana jaata hai. kaast bakaaya tha aur sangeet !!! abhee bhee mujhe baahar nikaal diya jaata hai.
Same here! My wife hates those movies and don't like to see them.	yahaan bhee aisaa hii! merrie patni una filmon seey nafrat karati haye aur unhein dekhana pasand naheen karati.	mujhe bhee! meree patnee un philmon se napharat karatee hai aur unhen dekhana pasand nahin karatee.
I don't know how she can hate it, but it's my favorite	mujhe naheen pataa kii vaha isase kaise nafrat curr sakati haye, lekin yeh meraa pasandida haye	mujhe nahin pata ki vah ise kaise napharat kar sakatee hai, lekin yah mera pasandeeda hai
I saw that the critics found it funny, in a weird sort of way. I think I kind of agree with that comment. There are moments that are funny, I can't say I agree with your wife, but it did scare some people too much. Maybe it scares her and thats why she hates it.	maine dekhaa kii alochakon koo yeh ajib tarah seey hasyaspad lagaa. mujhe lagata haye kii main usa tippani seey kuchh hudd taka sahmat huun. kuchh aise kshan hain joe mazedaar hain, main yeh naheen kaha sakata kii main aapaki patni seey sahmat huun, lekin isane kuchh logon koo bahut daraa diyaa haye. shayed yeh usey daraata haye aur isiliye vaha isase nafrat karati haye.	mainne dekha ki aalochakon ko yah ajeeb tarah se ajeeb laga. mujhe lagata hai ki main us tippanee se sahamat hoon. aise kshan hain jo majaakiya hain, main yah nahin kah sakata ki main aapakee patnee se sahamat hoon, lekin isane kuchh logon ko bahut dara diya. ho sakata hai ki vah use daraatee hai aur usase napharat karatee hai.
I kind of enjoyed the scary moments in it	maine isamen daraavane kshanon kaa anand liya	mainne isamen daraavane palon ka aanand liya
It's so realistic and it could happen.	yeh bahut yathaarthvaadi haye aur aisaa hoe sakata haye.	yah bahut yathaarthavaadee hai aur aisa ho sakata hai.
It does happen more than you think	jitna aap sochate hain usase kaheen adhik ghatit hotaa haye	yah aapake vichaar se adhik hota hai
It has happened! Thats whats so scary. Several attacks likek that off the east coast last summer.Felt like I was living Jaws! I stayed off the beach last summer!	aisaa huaa haye! yeh bahut daravana haye. pichhali garmiyon mein purvi tata parr aise kaee hamale hue. aisaa lagaa jaise main jozz jee rhaa huun! main pichhali garmiyon mein samudra tata seey door rhaa!	ho chuka hai! kya itana daraavana hai. pichhalee garmiyon mein poorvee tat se door jaise kaee hamale hue the. main pichhalee garmiyon mein samudr tat se door raha!
So did I, it freaked me out too much	maine bhee aisaa hii kiya, isane mujhe bahut jyada pareshan curr diyaa	to kya mainne, isane mujhe bahut adhik prabhaavit kiya
In the film the found a tiger shark so they thought the beach was safe. Kind of like when we see a dolphin fin, scream, and then realize it was ok.The next day they see a great white in the same area of the beach. Jaws for real.	film mein unhein ack tiger shark millie, isaliye unhein lagaa kii samudra tata surakshit haye. yeh kuchh-kuchh vaisa hii haye jaise jaba humm ack dolphin pankh dekhate hain, chillaate hain aur phir mahsoos karate hain kii yeh thheek haye. agale dinn unhein samudra tata key usee kshetra mein ack badaa safed pankh dikhaai detaa haye. vaastav mein jabade.	philm mein ek baagh shaark paaya gaya tha taaki unhen laga ki samudr tat surakshit hai. ek tarah se jab ham dolphin phin dekhate hain, chillaate hain, aur tab mahasoos hota hai ki yah theek hai. agale din ve samudr tat ke ek hee kshetr mein ek mahaan saphed dekhate hain. asalee ke lie jabade.
I know, one reason why I try and stay out of the oceans	main jaanata huun, yahee ack kaaran haye kii main mahasagaron seey door rahane kii koshish kartaa huun	mujhe pata hai, ek kaaran hai ki main koshish karata hoon aur mahaasaagaron se baahar rahata hoon
I know theres an alligator hunter that finds and removes those guys. In the movie they paid Quint, Richard Dreyfus to find the shark. Who would do that in real life? Not me!	main jaanata huun kii ack magarmachcha shikari haye joe una logon koo dhoondhata haye aur hataa detaa haye. film mein unhone shark koo khojane key liye quint, richard dreyfus koo bhugtan kiya. vaastavik jeevan mein aisaa kaun karega? mujhe naheen!	mujhe pata hai ki ek magaramachchh shikaaree ko dhoondhata hai aur un logon ko nikaalata hai. shaark ko khojane ke lie philm mein unhonne kvint, richard drephas ko bhugataan kiya. asal jindagee mein kaun aisa karega? main nahin!
10K or not, I would not get in that water or that boat if a great white were out there	10k yaa naheen, aggar koee mahaan shwet vahaan hotaa tou main usa paani yaa usa naav mein naheen chadhata	10k ya nahin, main us paanee ya us naav mein nahin jaata agar ek mahaan saphed vahaan se baahar hota
No way, I wouldn't either	bilkul naheen, main bhee naheen karunga	koee raasta nahin, main bhee nahin hoga
Nope not at all	naheen bilkul naheen	nahin bilkul nahin
sounds like you're pretty clever! Ironic they named the boat the Orca in the movie. Those Orcas are supposed to be pretty safe.	aisaa lagata haye jaise aap bahut chatur hain! vidambana yeh haye kii unhone film mein naav kaa naam orka rakhaa. way orcas kaafee surakshit maane jaate hain.	lagata hai ki tum bahut chaalaak ho! vidambana hai ki unhonne philm mein naav ka naam orka rakha hai. un orchas bahut surakshit maana jaata hai
Yeah, you know when you hear the music, look out	haan, aap jaanate hain kii jaba aap sangeet sunein, tou baahar dekhein	haan, aap jaanate hain ki jab aap sangeet sunate hain, to baahar dekhen
And can you imagine what it was like getting in a shark proof cage? I know someone who did that once. They said they'd never do it again!	aur kyaa aap kalpana curr sakate hain kii sharkrodhi pinjare mein bund honah kaisa hoga? main kissy aise vyakti koo jaanata huun jisane ack baar aisaa kiya thaa. unhone kahaa kii way aisaa dobara kabhi naheen karenge!	aur kya aap kalpana kar sakate hain ki shaark prooph kej mein aisa kya tha? main kisee aise vyakti ko jaanata hoon jisane ek baar aisa kiya tha. unhonne kaha ki ve ise phir kabhee nahin karenge!
No way! I would have a heart attack	bilkul naheen! mujhe dill kaa daura parh jaayega	bilkul nahin! mujhe dil ka daura padega
Well, at least Jaws had a happy ending. Not for the shark though. The good old days when they made you feel good before you left the movie!	khair, cumm seey cumm jozz kaa sukhad anta huaa. haalaanki shark key liye naheen. achche puraane dinn jaba unhone film chhodane seey pahale aapako achchha mahsoos karaaya thaa!	Jaws  film me khush anth hua. Lekin shark ke liye nahi. pahle dino jaise hame  movie dekar nikalne se pahle acha lagtha hai
hi	namaste	Hi
Hello! How are you?	namaste! aap kaise hain?	Hello, Kaise ho?
good	achchha	Achcha.
let's talk about Batman Begins. Are you familiar?	chaliye batman begins key baare mein baat karate hain. kyaa aap parichit hain?	chalo Batman Begins ke baare me baat karte hai. Kya tum familiar ho?
2005 SuperHero movie directed by Christopher  Nolan	christopher nolan dwara nirdeshit 2005 superheiro film	2005 ki superhero movie jise Christopher Nolan ne direct kiya tha
Yes, I've heard of it. I just havent seen it yet	haan, maine isake baare mein sunaa haye. maine ise abhee taka naheen dekhaa haye	Yes, maine uske baare me suna hai. Maine use ab tak dekha nahi
It's great	yeh bahut achchha haye	Ye accha hai
Rotten Tomatoes: 84% and average: 7.7/10	sadey hue tamatar: 84% aur ausat: 7.7/10	Rotten Tomatoes: 84% aur average: 7.7/10
Metacritic Score: 70/100	metacritic score: 70/100	Metacritic Score: 70/100
CinemaScore: A	cinemascore: aii	CinemaScore: A
the most 'realistic' take on batman yet	batman parr abb taka kaa sabse 'yathaarthvaadi' drishtikon	ab tak ki Batman par sabse 'realistic'
I'm actually interested in seeing it. Doesn't it have Christain Bale as Batman?	mujhe vaastav mein ise dekhane mein dilchaspi haye. kyaa isamen batman key roop mein christan bell naheen haye?	Main actually me interested hun ise dekhne me. kya isme Batman ke role me Christain Bale nahi hai?
yes	haan	yes
It stars Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy, Tom Wilkinson, Rutger Hauer, Ken Watanabe, and Morgan Freeman.	isamen christian bell, michael caine, liam neesan, ketty homes, gairi oldman, silian marfi, tomm wilkinson, ratgar hour, caine vatanabe aur morgan freeman shamil hain.	voh christian bale, michael caine, liam neeson, katie holmes, gary oldman, cillian murphy, tom wilkinson, rutger hauer, ken watanable aur morgan freeman ke sath start hota
great cast	mahaan kalakar	badiya cast hein
Wow, even Morgan Freeman!? That is a good cast. Who does Freeman play?	vaah, morgan freeman bhee!? vaha ack achchi cast haye. freeman kaun khelata haye?	acha tho morgan freeman bhi hein kya? voh badiya cast karte. tho freeman ka play kya hein?
He plays Lucious Fox. He's like Batman's Q (from 007)	vaha lutius fox kaa kirdar nibhaate hain. vaha batman key kyu kii tarah haye (007 seey)	voh lucious fox ke play kar rahe hein. usse batman ka q pasand hein
the tech guy who helps him out. So it's less of a one-man operation	takniki aadami joe usaki madad kartaa haye. isaliye yeh kissy ack vyakti key operation seey cumm naheen haye	us tech guy usse help kar raha tha. tho voh oneman operation se kam nahi lag raha tha
Yes, I remember the Character from the comics. That's awesome that they put him in the film. Does he play a big role? or is he just seen a little bit?	haan, mujhe comics kaa kirdar yaad haye. yeh adbhut haye kii unhone usey film mein rakhaa. kyaa vaha koee badee bhoomika nibhaata haye? yaa vaha buss thodaa-saa dikhaai detaa haye?	haan, muje us comic ka character thoda yaad hein. voh awesome hien, kya voh big role play kiya? ya kuch bit hi play kiya?
A fairly significant role. More-so in the sequels.	kaafee mahatvapurna bhoomika. agali kadee mein aur bhee bahut kuchh.	voh fairy significant role play kiya. tho jyada sequels tha.
Also stars Liam Neeson as Henri Ducard, a devious villian and member of the League of Shadows	liam neesan bhee heinry ducard kii bhoomika mein hain, joe ack kutil khalnayak aur leag off shados kaa sadasya haye.	henri ducard jo liam neeson se shuru huva jo villian ka role play kiya jo league ka shadows ka member tha
That is really cool, normally they give those kinds of characters small roles.	yeh vaastav mein achchha haye, aam taur parr way iss prakaar key paatron koo chhoti bhoomikaaen dete hain.	voh cool hein yar. normally voh small role mein nahi aathe
The league of shadows is in the film!? Wait so that means Neeson is Ras Algul?	chhaaya kii leag film mein haye!? ruko tou iska matlab haye kii neesan raa key all ghul key roop mein?	kya is film mein league ka shadows hein> wait yaani Neeson hi Ras algul hein?
Special guest appearance by Ken Watanabe as Ras Al Ghul	raas all ghul key roop mein caine vatanabe kii vishesh atithi bhoomika	Ken Watanabe ne Ras Al Ghul ke kirdar me special guest appearance ki hai.
Do they mention his immortality in the film?	kyaa unhone film mein unaki amarta kaa jikr kiya haye?	film me uski immortality ka mention kiya hai kya?
It's hinted at, but it's implied it's a mantle that's passed down for a more realistic take	iska sanket diyaa gayaa haye, lekin iska tatparya yeh haye kii yeh ack aavaran haye jise adhik yathaarthvaadi roop dene key liye paarit kiya gayaa haye	iska hint to diya hai, par ye implie kiya gaya hai ki wo sirf mantle hai jo passed down hota, realistic karne ke liye
As a child, Bruce Wayne falls down into a dry well and is attacked by a swarm of bats, subsequently developing a phobia of the creatures. While watching an opera with his parents, Thomas and Martha, Bruce becomes frightened by performers masquerading as bats and asks to leave. Outside, mugger Joe Chill murders Bruce's parents in front of him. Orphaned, Bruce is raised by the family butler, Alfred Pennyworth.	ack bachche key roop mein, broose wein ack sookhe kuein mein gir jaataa haye aur chamgaadadon key jhund ney usa parr hamla curr diyaa, jisake baad usey inn praaniyon seey darr lagane lagaa. apane maataa-pitaa, thomas aur martha key saath ack opera dekhate samay, broose chamgaadad key bhesh mein kalakaron koo dekhkar bhayabheet hoe jaataa haye aur vahaan seey chaley jaane key liye kahata haye. baahar, lutere joe chill ney broose key saamane usake maataa-pitaa kii hatyaa curr dee. anath, broose kaa paalan-poshan parivaar key butler, alfred peniworth ney kiya haye.	bachpan me, Bruce Wayne ek dry well me gir jata hai bahut sare bats ke dwara attack kiya jata hai, subsequently usko ek phobia develop ho jata hai creatures se. Ek din apne parents Thomas aur Martha ke sath opera dekhte hue, Bruce bahut dar jata hai performers ko bat ke roop me dekhte hu aur outside jaane ke liye bolta hai. Outside me chor Joe Chill Bruce ke parents ko murder kar deta hai. Anath, Bruce unke family butler,  Alfred Pennyworth ke dwara pala jata hai.
Ah so they stick to the comic closely, thats a good thing.	aaha, tou way comic seey nikatata seey judey rahate hain, yeh achchi baat haye.	Oh to wo comics ke bahut close rahe, yah badi achchi baat hai.
Michael Caine must be Alfred. I can't see him playing anyone else.	michael caine koo alfred honah chaahiye. main usey kissy aur key saath khelate hue naheen dekh sakata.	Michael Caine jarur Alfred hoga. Mai use koi aur role play karte dekh hi nahi sakta.
Yes, origin-wise, it's pretty close. Bruce's traveling around the world and training is a part of it. Which has never been shown on screen before.	haan, utpatti kii drishti seey, yeh kaafee karib haye. broose kii duniya bhar mein yatra karna aur prashikshan iska ack hissa haye. joe pahale kabhi screen parr naheen dikhaaya gayaa.	Yes, Origin-Wise, ye pretty close hai. Bruce around the world travel karta hai aur training iska part hai. Aisa kuc screen pahle kabhi nahi dikhaya gaya hai.
Yes he's an amazing Alfred	haan vaha ack adbhut alfred haye	Yes, Wah amazing Alfred hai.
Fourteen years later, Chill is freed in exchange for testifying against Gotham City mafia boss Carmine Falcone. Bruce intends to murder Chill, but one of Falcone's assassins does so first. Bruce's childhood friend, assistant district attorney Rachel Dawes, berates him for attempting to undermine the justice system, saying that his father would be ashamed. Bruce confronts Falcone, who tells him that real power comes from being feared. Bruce decides to travel the world and learn how to confront injustice. While serving a prison sentence for theft in Bhutan, he meets Henri Ducard, who trains him as a member of the League of Shadows, led by Ra's al Ghul. After completing his training and purging his fears, Bruce learns that the League intends to destroy Gotham, believing it to be corrupt, decadent, hypocritical and beyond saving. Bruce rejects the League's cause and burns down their temple during his escape. Ra's is killed by falling debris, while Bruce saves the unconscious	chaudah saal baad, gotham city mafiya boss carmine falcon key khilaf gawahi dene key badale mein chill koo mukt curr diyaa gayaa. broose chill kii hatyaa karane kaa irada rakhta haye, lekin falcon key hatyaron mein seey ack pahale aisaa kartaa haye. broose key bachpan key dost, sahaayak jilaa attorney rachel daves, nyaay pranali koo kamjor karane key prayas key liye usey daantate hue kahate hain kii usake pitaa koo sherm aaegi. broose falcon kaa saamana kartaa haye, joe usey bataata haye kii asli shakti darne seey aatee haye. broose ney duniya kii yatra karane aur anyaay kaa saamana karane kaa tarika seekhane kaa faisala kiya. bhutan mein chori key aarop mein jail kii sajaa kaatate samay, usaki mulakat heinry ducard seey hoti haye, joe usey raas all ghul key netritva vaali leag off shados key sadasya key roop mein prashikshit kartaa haye. apana prashikshan puuraa karane aur apane darr koo door karane key baad, broose koo pataa chalata haye kii leag gotham koo bhrasht, patansheel, pakhandi aur bachaane seey parey maanate hue usey nasht karane kaa irada rakhti haye. broose ney leag key uddeshya koo aswikar curr diyaa aur bhaagne key dauran unake mandir koo jalaa diyaa. malba girane seey raa kii maut hoe jaati haye, jabaki broose behosh koo bachaata haye	Chaudah saal baad, Chill ko free kar diya jata Gotham city mafia boss Carmine Falcone ke against testify karne ke liye. Bruce Chill ko marne ka intent rakhta hai, but Falcone ka assassine ye pahle kar deta hai. Bruce ka childhood ka friend, assistant district attorny Rachel Dawes, use kosti hai justice system ko undermine karne ke liye. wo kahti hai uske father ashamed honge. Bruce Falcone ko confront karta hua, wo use batata hai ki asli takat darne se aati hai. Bruce saari duniya travel karke injustice confront karna seekhne ka decide karta hai. Bhutan me chori ke aarop me saza kaatte hu wo Henri Ducard se milta hai, wo use Ra's al Ghul ke ledership wali league of shadows ke memeber ke roop me train karta hai. Apni training complete karne ke apne fear ko khatm karke Bruce ko pata chalta hai ki leaugue kaise Gotham ko destroy karna chahti hai, ise corrupt, decadent aur hypocritical aur repair ke bahar mankar. Bruce league ke karan ko reject kar deta hai aur unke temple ko escap ke dauran burn kar deta hai. Ra's girte hue malbe me dabkar mar jata hai, wahi bruce ko behoshi me paya jata hai,
